,title,description,tag,showDate,creators,contributor,page_url,img_url,time_length,hot_score,content_id
10,云襄传,云台弟子云襄苦修十年，背负着门中的使命和往日的灭族之仇步入江湖，开始了复仇与报恩的漫长旅途。在闯荡江湖的过程中，云襄结识了几位好友，逐渐体会到了友谊的温暖。舒亚男这位古怪精灵、聪慧机警的女子，更是让云襄产生了朦胧的情愫。意气风发的云襄带领这个小团体施展抱负，度过了一段快意恩仇的时光。可是好景不长，随着对昔日灭族惨案的深入调查，云襄挖出了更多骇人听闻的秘密，事态开始急转直下。他先后经历了欺骗、背叛与生死离别，又意识到曾以造福苍生为己任的云台早已堕落，云襄猛然发觉复仇已毫无意义。云台之主祸乱天下的阴谋逐渐显露，云襄决定挺身而出捍卫心中的正义，哪怕是牺牲自己也在所不惜。,自制;古装;武侠,2023-5-1,[],"['陈晓', '毛晓彤', '秦岚', '王劲松', '惠英红', '唐晓天', '许龄月', '刘冠麟']",http://www.iqiyi.com/v_14aoajaoai0.html,http://pic9.iqiyipic.com/image/20230522/6b/03/a_100480701_m_601_m15_579_772.webp,2265,2867,4221498045957700
11,人生之路,部分取材于小说《人生》，讲述了生活在陕北高家村的青年高加林为了改变命运，努力奋发图强，历经世事变迁和命运接二连三的考验后，在时代的浪潮中谱写平凡人不平凡人生的故事。,剧情;农村,2023-3-20,[],"['陈晓', '李沁', '张嘉倪', '王天辰', '唐曾', '林永健', '郭晓婷', '刘威']",http://www.iqiyi.com/v_282gtasmuto.html,http://pic8.iqiyipic.com/image/20230630/c1/d7/a_100529375_m_601_m35_579_772.webp,2733,2473,8047026973605600
12,蝶影,"抗日战争全面爆发后，即将大学毕业的进步女青年林秋雁,面对美好家园惨遭蹂躏，面对日寇汉奸的残忍行径，她痛心疾首，与恋人张子墨相约毕业后一起奔赴延安，共同为拯救国家作出自己的贡献。
林秋雁父亲是著名的考古专家，日军头目龟田次郎为了夺取林家收藏的古董文物，丧心病狂，将林秋雁一家残忍杀害，家中被洗劫一空。名画宋代摹本《斫琴图》和半张手绘地图不幸落入龟田次郎手中。最危急关头，林秋雁被军统特工周天昊搭救。
张子墨以为林秋雁已经遇害，怀着悲痛的心情只身奔赴延安。获救之后的林秋雁为了报仇，加入到军统。从此二人天各一方。
由于林秋雁父亲爱国专家的特殊身份，党组织安排在上海做地下工作的宋逸坤负责对林秋雁的下落进行",网剧;战争;谍战,2023-3-21,['张健'],"['冯越', '魏大勋', '赫子铭', '张晨光', '黄维德', '张睿', '赵圆瑗', '李卓霖']",http://www.iqiyi.com/v_g1ofldh6zc.html,http://pic7.iqiyipic.com/image/20230630/a5/e1/a_100531029_m_601_m10_579_772.webp,2724,2511,1617667704269300
13,九霄寒夜暖,九霄城迷案再现，乾国女捕快&祺族少主寻爱探真，演绎高温差蜜恋。,网剧;自制;古装,2023-2-25,[],"['李一桐', '毕雯珺', '何瑞贤', '陈鹤一', '马月', '杨仕泽', '王茂蕾', '傅首尔']",http://www.iqiyi.com/v_124xt5w4nf8.html,http://pic4.iqiyipic.com/image/20230628/0f/4a/a_100459089_m_601_m23_579_772.webp,2808,2391,3861325580260600
14,狂飙,由金牌导演徐纪周执导，张译、张颂文、李一桐、张志坚、吴刚领衔主演，倪大红、韩童生、李建义特邀主演的中央政法委重点项目。一部扫黑除恶坚决斗争的回忆录，横跨20年的群像叙事全景式展现时代变迁下的黑白较量与复杂人性。,自制;罪案;悬疑,2023-1-14,[],"['张译', '张颂文', '李一桐', '张志坚', '吴刚', '倪大红', '韩童生', '李建义']",http://www.iqiyi.com/v_xkt6z3z798.html,http://pic0.iqiyipic.com/image/20230601/8b/04/a_100476174_m_601_m40_579_772.webp,2733,5099,3493131456125200
15,耀眼的你啊,讲述了不同个性的三个女人从不可能的关系到相互扶持走出困境活出自我开创美丽人生的一段热烈故事。,都市;剧情;自制,2023-1-25,[],"['殷桃', '刘以豪', '任重', '王媛可', '施诗', '王策', '刘莉莉', '岳跃利']",http://www.iqiyi.com/v_27bc0jo0dvw.html,http://pic7.iqiyipic.com/image/20230328/df/5f/a_100493088_m_601_m15_579_772.webp,2736,2093,8140078211853600
16,显微镜下的大明之丝绢案,讲述了数学天才帅家默从县衙税簿意外发现，该县承担了周围七县此前百余年的丝绢税负，由此开启从县衙到府衙乃至更高行政单位的拨乱反正之路。,网剧;剧情;自制,2023-2-9,['马伯庸'],"['张若昀', '王阳', '戚薇', '吴刚', '高亚麟', '费启鸣', '侯岩松', '翟小兴']",http://www.iqiyi.com/v_1b8vy0td37s.html,http://pic3.iqiyipic.com/image/20230604/94/27/a_100476171_m_601_m19_579_772.webp,2362,2714,4918580167510500
17,父亲的草原母亲的河,在特定的时代环境下，莫家四兄妹响应国家的号召，从南京相继来到内蒙草原与牧民共同学习、共同生活，在生活中进行人生选择和自我寻找，在奋斗中履行自己扎根草原、建设边疆的诺言而发生的悲欢离合。他们曾因文化差异和环境艰苦而哭泣，也为收获动人爱情和珍贵友谊而欢笑，把青春和生命挥洒在这片土地。然而时代的迅速发展，又开始让他们对单调的草原产生了怀疑，他们在花花世界中闯至头破血流后猛然回首，草原依然以最温柔的姿态召唤并拥抱了他们的回归。,家庭;农村,2023-7-16,[],"['李泓良', '德姬', '斯琴高娃', '涂们', '吕星辰', '塔娜花日', '阿云嘎', '索牧']",http://www.iqiyi.com/v_pjz7ilwgz4.html,http://pic2.iqiyipic.com/image/20230717/d0/0e/a_100539635_m_601_m3_579_772.webp,2725,2273,2617968516492700
18,熟年,在外人眼中倪家二儿媳张春梅拥有完美生活，然而老太太寿宴上老公伟强突然失踪，春梅找到丈夫后却被告知离婚，这时婆婆又患上了阿尔茨海默症。老大倪伟民与媳妇吴二琥和刚结婚的儿子倪俊儿媳刘红艳挤在老旧的居民楼。老小伟贞原本生活无忧无虑，母亲生病让她第一次有了想成家的念头。倪家三代人的生活就此被打乱，他们该如何面对亲情、事业、婚姻的考验？,剧情;自制;家庭,2023-5-25,[],"['郝蕾', '王鸥', '唐艺昕', '宋丹丹', '刘奕君', '张国强', '王彦霖', '曹翠芬']",http://www.iqiyi.com/v_2a8lk171ams.html,http://pic2.iqiyipic.com/image/20230725/25/f8/a_100476178_m_601_m20_579_772.webp,2733,3394,8401584278343800
19,尘封十三载,1997年未能侦破的特殊杀人案件在13年后重现，当年一直没有追查到真凶的刑警卫峥嵘备受打击离开一线，而曾经初出茅庐的新警陆行知褪去稚嫩青涩，已成为缜密细致的刑侦能手，案件的重重巧合让师徒二人再次走到了一起，合力追缉真凶。 ,剧情;悬疑,2023-4-6,[],"['陈建斌', '陈晓', '啜妮', '刘敏涛', '王骁', '左小青', '喻恩泰', '谭凯']",http://www.iqiyi.com/v_2cjqc7nrjb4.html,http://pic3.iqiyipic.com/image/20230602/0a/9d/a_100517610_m_601_m18_579_772.webp,2177,2881,8713626793061100
20,刑侦笔记,"隆城市的富豪相继离世，案发现场都出现黑影。隆城市刑侦队长付瑶瑶和副队长江左岸迅速展开调查，再加上青年化学家钟申镐的全力配合，让这个黑影无处遁形，暴露在了光天化日之下……
但谁知，一波未平一波又起……网红主播田淼淼突然坠楼，现场无任何作案痕迹。钟申镐主动请缨参加了直播平台举行的真人秀，遇到了主播夏渔。摄制过程中，网红主播们一个个古怪的死去，只剩下他们两人，但真相却出乎人们的意料……",网剧,2023-5-30,['张子涵（编剧）'],"['卢杉', '杨昊铭', '陈牧扬', '刘铭浩', '王浩伟', '石蕊', '闵政']",http://www.iqiyi.com/v_2d127crf1ng.html,http://pic2.iqiyipic.com/image/20230630/de/1f/a_100536490_m_601_m11_579_772.webp,2294,1799,8685550988441200
21,公诉,该剧讲述了高材生检察官安旎入职江城检察院后，面对众多棘手案件，与刑警队长何陆源通力合作，充分发挥各项检察职能，在一系列案件旋涡中查找真相的故事。,都市;剧情;罪案,2023-5-29,[],"['迪丽热巴', '佟大为', '高鑫', '尤靖茹', '冯雷', '韩栋', '贾青', '熊梓淇']",http://www.iqiyi.com/v_1f93um9m2n0.html,http://pic2.iqiyipic.com/image/20230630/6f/eb/a_100529481_m_601_m18_579_772.webp,2734,3461,5079013337166000
22,最食人间烟火色,贷款上班的银行社畜司清是个十足的美强惨，工作业绩斐然，过着追求车子房子票子的“俗气”生活。为了追回一起不良贷款，她与传统手艺匠人景琛初次相遇。一个是被追债任务“绑架”而充满铜臭味的白领，一个是没车没房没票子，却坐拥田园，与青山绿水围绕的清冷手工匠人。互相看不顺眼的两人“相见相杀”般地纠缠不清。在冬至生日的这天，被父母遗忘、被同事孤立的司清内心狼狈不堪，终于到了成年人的崩溃边缘。直到在璟园那充满江南风韵的长廊下，景琛一碗冬至习俗的甜酒鸡蛋，被司清误认为是生日唯一的温暖，冲动之下提出结婚。而景琛，也因司清手中握有另外半卷题跋，进而答应了她的要求。 然而，结婚只是开始。,网剧;都市;剧情,2023-3-31,['王晓翠'],"['卢洋洋', '陈鑫海', '南笙', '赵振廷', '籍皓', '钱宣颖']",http://www.iqiyi.com/v_1qtemxd4tvs.html,http://pic3.iqiyipic.com/image/20230628/90/06/a_100529507_m_601_m25_579_772.webp,2016,3678,6437882283083300
23,理科生坠入情网,在全国知名的理工院校东南科学技术大学，男女比例高达七比一，而生物医学工程专业的苏澄澄始终无法脱单。直到有一天，苏澄澄和“科研学神”肖宇河之间发生了一系列古怪浪漫而又奇迹般的相遇。苏澄澄一冲动一上头，便来到肖宇河面前，献出了人生第一次告白：“我喜欢你”。不成想竟因此被带入了脑机领域的顶尖实验室——脑与智实验室，开始用脑科学、神经医学、心理学等科学手段来验证她的“喜欢”。然而在本该甜蜜的恋爱实验中，苏澄澄却发现肖宇河的满满“恶意”——在与肖宇河斗智斗勇，苟延残喘上演“实验室求生记”之际，苏澄澄也和实验室里的“奇葩”学霸们一同开启了搞笑、浪漫的青春之旅。,青春,2023-3-15,[],"['吴佳怡', '刘奕畅', '陈昊蓝', '吴飞', '高宇航（男）', '姚一奇', '王星瀚', '马丽']",http://www.iqiyi.com/v_1bda7phqjos.html,http://pic2.iqiyipic.com/image/20230628/3a/06/a_100506356_m_601_m14_579_772.webp,2496,1709,4892910860430400
24,你好，我的对面男友,讲述了一个出身草根，看似平凡的女孩陆纷纷，靠着天赋，聪明和不屈不挠的斗志勇气，在强调出身的红酒行业，杀出一片属于自己的天地，并遇上了患有怪病，性格也古怪的“逆龄霸总”许明辰，随后展开一段既有别扭和搞笑，也有浪漫和心动的恋爱喜剧。,青春;偶像,2023-3-20,['周子逾'],"['嘉羿', '金子璇', '范晓东', '吴明晶', '杜厚佳', '陈依琪', '高凯元', '李博洋']",http://www.iqiyi.com/v_1mvas1ki3lw.html,http://pic2.iqiyipic.com/image/20230628/5c/79/a_100530975_m_601_m9_579_772.webp,1966,1367,5991075905945000
25,外婆的新世界,一生沉默如大多数人般的外婆，突然不告而别、离家消失，游走于城市各地，变得不再沉默，变得特立独行，宛如城市游侠，利刃般刺入无数人的生活，揭开一个个难定黑白善恶的人生，一边改变着自己，一边也改变了许多人——包括外婆的姐姐、女儿、外孙女的人生……  ,自制;家庭,2023-5-7,['李樯'],"['闫妮', '邓恩熙', '张瑶', '姚晨', '王珞丹', '梅婷', '黄尧', '刘琳']",http://www.iqiyi.com/v_1kbnbq6mk2w.html,http://pic0.iqiyipic.com/image/20230630/7d/36/a_100461606_m_601_m27_579_772.webp,2982,2241,5673418230303300
26,淬火丹心,八十年代中期，江汉钢铁学院高材生耿云辉因在大学期间发明了“转炉煤气自动点火装置”，受到了江钢领导的关注和期望。然而在一次“剽窃论文”事件中，他替为自己出头伤人的朋友顶罪，被开除学籍，并受到拘役半年的严厉惩处，人生自此陷入低谷。父亲耿卫东在研发新钢种的试验中发生重大事故被追责，耿云辉受此刺激重新振作。进入江钢工作后，他在情感和事业上经历了挫折、痛苦、抉择、成长、蜕变等不同阶段后，他成长为一个有责任、有担当、有使命感的真正的江钢人。,年代,2023-6-14,[],"['唐曾', '吕一', '王雨', '董晴', '董可飞', '丁宁（演员）']",http://www.iqiyi.com/v_1dblf5he6j4.html,http://pic1.iqiyipic.com/image/20230630/6f/54/a_100537704_m_601_m4_579_772.webp,2701,1732,4994785923189500
27,尘缘,学乘风破浪的霸气师姐，如何倒追-帅气师弟；看披荆斩棘的修仙菜鸟，如何翻身-飞升上仙，改编自烟雨江南同名小说。,剧情;古装,2023-7-2,[],"['杨颖', '马天宇', '宣璐', '汪卓成', '张国强（香港）', '郑希怡', '朱泳腾', '李雅男']",http://www.iqiyi.com/v_b34dsox0hc.html,http://pic9.iqiyipic.com/image/20230728/9c/5f/a_100518022_m_601_m14_579_772.webp,2450,4571,1255088741236700
28,花戎,人间魏国，盛行修仙，长生对于大多数老百姓来说终是遥不可及。从小被视为扫把星的少女魏枝虽然缄默低调，性格却并不懦弱，她大胆参加了测仙缘根骨的成人礼。成人礼上，魏枝所在的三十六人组在鉴仙镜中照出凤凰身影，众人因此被一起送入白鹭书院深造，其中资质出众的魏家三小姐成为了凤凰血脉继承者的热门人选。书院中，老师炎越严厉之极，把一干锦衣玉食的公子小姐折磨得叫苦不迭。其实炎越乃是上界天君，下凡目的正是为了寻找凤凰血脉继承者，因为在传说中，凤凰是必将毁灭三界的可怕存在，杀死凤凰，既是炎越的使命，也是对他能否顺利即位天君的最大试炼。炎越因天律约束，无法干扰人间之事，却渐渐对聪慧顽强的魏枝产生了浓厚的兴趣。,古装;言情,2023-6-1,[],"['鞠婧祎', '郭俊辰', '刘冬沁', '陆婷玉', '马月', '张志浩', '宋昕冉', '聂子皓']",http://www.iqiyi.com/v_k9j4r3geds.html,http://pic8.iqiyipic.com/image/20230630/42/92/a_100465280_m_601_m22_579_772.webp,2733,4153,2034793945152700
29,山河之影,"建文三年，鸡鹅巷的小贼李雾见济南府佥事王克恭携万贯家财平调进入南京城，便盗锦衣百户李东方之名帖潜入王克恭府，梦想着顺利盗宝，在一夜之间坐拥荣华富贵。不料王克恭府中暗流涌动，李雾被迫卷入了一场围绕鱼暝锁展开的前朝火器之争中，原本作为局外人的李雾成为了鱼暝锁的持有者，陷入了漩涡中心。
儿时，将李雾从诏狱中解救的孩童宋真如今已成为锦衣卫陆铮，与李雾成了同僚，相见不相认；和李雾曾同处一个囚室的女童舒棠变成了夜不收刺客，并跟李雾成了间谍夫妻，共同完成夜不收的任务。朝野纷争的阴暗与残酷让三人之间的感情也在连环锁一样的阴谋中经受着考验。当改朝换代的那一刻到来的时候，所有的战事和未解的迷局，都将落下帷幕。
",古装;武侠,2023-3-28,[],"['张云龙', '陈若轩', '孙怡', '此沙', '马渝捷', '尹铸胜', '周铁', '杨轶']",http://www.iqiyi.com/v_lnpjizja0o.html,http://pic7.iqiyipic.com/image/20230607/67/bc/a_100517997_m_601_m13_579_772.webp,2236,2139,2152712324698900
30,刑侦笔记,"隆城市的富豪相继离世，案发现场都出现黑影。隆城市刑侦队长付瑶瑶和副队长江左岸迅速展开调查，再加上青年化学家钟申镐的全力配合，让这个黑影无处遁形，暴露在了光天化日之下……
但谁知，一波未平一波又起……网红主播田淼淼突然坠楼，现场无任何作案痕迹。钟申镐主动请缨参加了直播平台举行的真人秀，遇到了主播夏渔。摄制过程中，网红主播们一个个古怪的死去，只剩下他们两人，但真相却出乎人们的意料……",网剧,2023-5-30,['张子涵（编剧）'],"['卢杉', '杨昊铭', '陈牧扬', '刘铭浩', '王浩伟', '石蕊', '闵政']",http://www.iqiyi.com/v_2d127crf1ng.html,http://pic2.iqiyipic.com/image/20230630/de/1f/a_100536490_m_601_m11_579_772.webp,2294,1799,8685550988441200
31,外婆的新世界,一生沉默如大多数人般的外婆，突然不告而别、离家消失，游走于城市各地，变得不再沉默，变得特立独行，宛如城市游侠，利刃般刺入无数人的生活，揭开一个个难定黑白善恶的人生，一边改变着自己，一边也改变了许多人——包括外婆的姐姐、女儿、外孙女的人生……  ,自制;家庭,2023-5-7,['李樯'],"['闫妮', '邓恩熙', '张瑶', '姚晨', '王珞丹', '梅婷', '黄尧', '刘琳']",http://www.iqiyi.com/v_1kbnbq6mk2w.html,http://pic0.iqiyipic.com/image/20230630/7d/36/a_100461606_m_601_m27_579_772.webp,2982,2241,5673418230303300
32,淬火丹心,八十年代中期，江汉钢铁学院高材生耿云辉因在大学期间发明了“转炉煤气自动点火装置”，受到了江钢领导的关注和期望。然而在一次“剽窃论文”事件中，他替为自己出头伤人的朋友顶罪，被开除学籍，并受到拘役半年的严厉惩处，人生自此陷入低谷。父亲耿卫东在研发新钢种的试验中发生重大事故被追责，耿云辉受此刺激重新振作。进入江钢工作后，他在情感和事业上经历了挫折、痛苦、抉择、成长、蜕变等不同阶段后，他成长为一个有责任、有担当、有使命感的真正的江钢人。,年代,2023-6-14,[],"['唐曾', '吕一', '王雨', '董晴', '董可飞', '丁宁（演员）']",http://www.iqiyi.com/v_1dblf5he6j4.html,http://pic1.iqiyipic.com/image/20230630/6f/54/a_100537704_m_601_m4_579_772.webp,2701,1732,4994785923189500
33,恩爱两不疑,讲述了文治城主萧锦昀和将门之女的城主夫人徐钰，因一次意外互换了身体，原本互不信任的二人，在努力扮演彼此的过程中，逐渐在错位的身份上开始体谅对方、因设身处地而解开误会，夫妻同心协力化解了一系列的危机，从相看两相厌到恩爱两不疑的故事。,古装,2023-4-6,[],"['宋妍霏', '张昊唯', '马栗', '曹峻祥', '于波', '翁虹', '李俊辰']",http://www.iqiyi.com/v_1tzqkjjlt4c.html,http://pic9.iqiyipic.com/image/20230628/07/09/a_100531986_m_601_m14_579_772.webp,2741,1864,6679334203294400
34,尘缘,学乘风破浪的霸气师姐，如何倒追-帅气师弟；看披荆斩棘的修仙菜鸟，如何翻身-飞升上仙，改编自烟雨江南同名小说。,剧情;古装,2023-7-2,[],"['杨颖', '马天宇', '宣璐', '汪卓成', '张国强（香港）', '郑希怡', '朱泳腾', '李雅男']",http://www.iqiyi.com/v_b34dsox0hc.html,http://pic9.iqiyipic.com/image/20230728/9c/5f/a_100518022_m_601_m14_579_772.webp,2450,4571,1255088741236700
35,民国女神探,本故事讲述一个天网恢恢疏而不漏，邪不能胜正的故事，警察所所长丁探长和当地富商冯大头为了一己之私勾结洋人汉奸倒卖鸦片，为了找寻传说中的宝藏而不惜牺牲无辜的孙家周家两家的性命，更是全然不顾国家危亡，。女探长霍青带着得力助手烟儿来到浦江镇，虽与警察局副所长邢易有诸多误会，但幸好及时说清，三人携手，大破孙家和周家灭门案，揭露了丁探长和冯大头的卖国罪行，所有案件真相大白，坏人也得到了应有的惩罚，而浦江镇也恢复了往日的平静。,罪案;悬疑,2023-2-28,"['张洪亮', '刘鹏飞', '徐婧（编剧）']","['李曼0514', '洋懿', '李泽宇', '雷琨', '宋鸿宇']",http://www.iqiyi.com/v_wcmtbfpxtk.html,http://pic3.iqiyipic.com/image/20230628/a8/4f/a_100529501_m_601_m11_579_772.webp,663,1265,3335104784180500
36,破事精英2,破事部曾经是万兽集团最没存在感的部门。老好人经理胡强、刺头程序员欧阳莫菲、鸡血销售唐海星、八卦秘书金若愚、强迫症设计师苏克杰、过劳肥文案庞小白、乐天派助理沙乐乐成天处理其他部门不愿意干的破事。但因为在万兽集团的裁员风波中剑走偏锋，以小博大，破事部不但挽救了自己，也让不少同事免于被裁，让领导刮目相看。破事部所有人都迎来了升职加薪，但更荒唐、更爆笑的破事也在等着他们，破事部的咸鱼怨种们即将迎来全新的打工日常。,都市;喜剧,2023-4-29,[],"['李佳航', '张一铎', '成果', '刘中秋', '屠画', '李汶凡', '孙艺文']",http://www.iqiyi.com/v_168f5kwpuws.html,http://pic7.iqiyipic.com/image/20230630/40/85/a_100517919_m_601_m12_579_772.webp,2726,2809,4301714630709200
